Session;Security;Reference price;Last price;+Intraday high;+ Intraday low;Number of shares traded;Capitalisation
28/03/2014;ATLANTA;64,60;64,75;65,95;64,60;329;3897330731,00
27/03/2014;ATLANTA;65,00;64,80;65,00;64,80;2380;3900340252,80
26/03/2014;ATLANTA;64,61;65,96;65,98;64,61;122;3970161158,60
25/03/2014;ATLANTA;64,56;64,64;65,00;64,56;566;3890709783,00
24/03/2014;ATLANTA;65,00;65,94;65,98;64,51;645;3968957349,80
21/03/2014;ATLANTA;64,21;66,00;66,76;64,21;8196;3972568776,00
20/03/2014;ATLANTA;64,11;65,96;65,96;64,11;168;3970161158,60
19/03/2014;ATLANTA;64,50;65,10;65,10;64,50;170;3918397383,60
18/03/2014;ATLANTA;65,15;65,20;65,20;64,25;87;3924416427,20
17/03/2014;ATLANTA;64,02;65,58;65,58;64,01;95;3947288792,90
14/03/2014;ATLANTA;64,07;64,07;65,60;64,07;150;3856401234,50
13/03/2014;ATLANTA;64,01;64,15;65,64;64,00;306;3861216469,40
12/03/2014;ATLANTA;64,00;65,70;65,75;64,00;286;3954511645,20
11/03/2014;ATLANTA;65,00;64,50;65,10;64,30;1035;3882283122,00
10/03/2014;ATLANTA;64,40;64,50;64,50;64,40;935;3882283122,00
07/03/2014;ATLANTA;63,60;64,60;65,20;63,60;731;3888302165,60
06/03/2014;ATLANTA;65,00;65,28;65,28;63,45;230;3929231662,10
05/03/2014;ATLANTA;62,60;64,96;65,00;62,60;1354;3909970722,60
04/03/2014;ATLANTA;62,26;62,30;63,90;62,26;43;3749864162,80
03/03/2014;ATLANTA;63,90;63,90;63,90;63,90;10;3846168860,40
28/02/2014;ATLANTA;62,01;62,04;63,00;62,01;82;3734214649,40
27/02/2014;ATLANTA;62,00;62,00;62,46;62,00;2409;3731807032,00
26/02/2014;ATLANTA;62,01;62,02;62,46;62,01;724;3733010840,70
25/02/2014;ATLANTA;61,16;62,30;62,30;61,16;273;3749864162,80
24/02/2014;ATLANTA;61,61;61,15;61,61;61,10;557;3680645161,40
21/02/2014;ATLANTA;61,01;61,10;61,14;61,01;340;3677635639,60
20/02/2014;ATLANTA;61,50;62,25;62,29;61,30;1790;3746854641,00
19/02/2014;ATLANTA;61,01;62,00;62,30;61,01;328;3731807032,00
18/02/2014;ATLANTA;61,00;61,02;61,02;61,00;224;3672820404,70
17/02/2014;ATLANTA;61,03;61,10;61,10;61,03;262;3677635639,60
14/02/2014;ATLANTA;61,30;61,68;61,68;61,02;607;3712546092,50
13/02/2014;ATLANTA;60,30;60,80;60,80;60,30;247;3659578508,80
12/02/2014;ATLANTA;60,30;61,00;62,00;60,25;142;3671616596,00
11/02/2014;ATLANTA;60,12;60,12;61,00;60,12;415;3618649012,30
10/02/2014;ATLANTA;60,61;60,05;60,61;60,05;100;3614435681,80
07/02/2014;ATLANTA;60,92;61,00;61,00;60,92;285;3671616596,00
06/02/2014;ATLANTA;61,00;60,92;61,00;60,92;220;3666801361,10
05/02/2014;ATLANTA;61,12;61,00;61,12;60,96;332;3671616596,00
04/02/2014;ATLANTA;60,92;60,95;60,95;60,92;160;3668607074,20
03/02/2014;ATLANTA;60,92;60,92;60,92;60,92;180;3666801361,10
31/01/2014;ATLANTA;61,01;61,00;61,01;61,00;380;3671616596,00
30/01/2014;ATLANTA;61,00;61,01;61,02;61,00;1247;3672218500,40
29/01/2014;ATLANTA;60,96;61,00;61,00;60,96;180;3671616596,00
28/01/2014;ATLANTA;60,96;60,96;60,96;60,96;80;3669208978,60
27/01/2014;ATLANTA;61,20;60,94;61,20;60,94;180;3668005169,80
24/01/2014;ATLANTA;61,20;61,20;61,20;61,20;601;3683654683,20
23/01/2014;ATLANTA;60,94;60,94;60,94;60,94;160;3668005169,80
22/01/2014;ATLANTA;61,04;61,54;61,54;61,00;558;3704119431,40
21/01/2014;ATLANTA;61,00;61,00;61,53;61,00;137;3671616596,00
20/01/2014;ATLANTA;60,94;61,48;61,48;60,94;52;3700508005,30
17/01/2014;ATLANTA;60,60;62,84;62,84;60,60;1834;3782366998,20
16/01/2014;ATLANTA;61,50;63,60;63,65;61,50;682;3828111729,60
13/01/2014;ATLANTA;61,22;61,50;63,49;61,22;181;3701711814,00
10/01/2014;ATLANTA;63,30;61,61;65,05;61,61;1492;3708332762,00
09/01/2014;ATLANTA;63,20;63,26;63,26;63,20;100;3807646981,40
08/01/2014;ATLANTA;63,08;63,20;63,22;63,08;60;3804035555,20
07/01/2014;ATLANTA;65,89;65,89;65,89;65,89;1;3965947828,00
06/01/2014;ATLANTA;62,90;63,06;63,08;62,90;181;3795608894,20
03/01/2014;ATLANTA;64,00;63,10;67,75;63,10;92;3798016511,60
02/01/2014;ATLANTA;64,02;64,00;65,25;64,00;149;3852187904,00
